"ASUSTek Computer","PRIME X299-A II","NCT6798D"
"ASUSTek Computer","PRIME X299-A","NCT6796D"
"ASUSTek Computer","PRIME X299-DELUXE II","NCT6796D"
"ASUSTek Computer","PRIME X299-DELUXE","NCT6796D"
"ASUSTek Computer","PRIME X370-A","IT8655E"
"ASUSTek Computer","PRIME X370-PRO","IT8665E"
"ASUSTek Computer","PRIME X470-PRO","IT8665E"
"ASUSTek Computer","PRIME X570-P","NCT6798D-R"
"ASUSTek Computer","PRIME X570-PRO","NCT6798D-R"
"ASUSTek Computer","PRIME X670E-PRO WIFI","NCT6799D-R"
"ASUSTek Computer","PRIME X670-P WIFI","NCT6799D-R"
"ASUSTek Computer","PRIME Z270-A","NCT6793D"
"ASUSTek Computer","PRIME Z270-AR","NCT6793D"
"ASUSTek Computer","PRIME Z270-K","NCT5539D"
"ASUSTek Computer","PRIME Z270M-PLUS","NCT5539D"
"ASUSTek Computer","PRIME Z270-P","NCT5539D"
"ASUSTek Computer","PRIME Z370-A II","NCT6793D"
"ASUSTek Computer","PRIME Z370-A","NCT6793D"
"ASUSTek Computer","PRIME Z370M-PLUS II","NCT6793D"
"ASUSTek Computer","PRIME Z370-P II","NCT6793D"
"ASUSTek Computer","PRIME Z370-P","NCT6793D"
"ASUSTek Computer","PRIME Z390-A","NCT6798D"
"ASUSTek Computer","PRIME Z390-P","NCT6798D"
"ASUSTek Computer","PRIME Z490-A","NCT6798D"
"ASUSTek Computer","PRIME Z490M-PLUS","NCT6798D"
"ASUSTek Computer","PRIME Z490-P","NCT6798D"
"ASUSTek Computer","PRIME Z590-A","NCT6798D"
"ASUSTek Computer","PRIME Z590M-PLUS","NCT6798D"
"ASUSTek Computer","PRIME Z590-P","NCT6798D"
"ASUSTek Computer","PRIME Z590-P WIFI","NCT6798D"
"ASUSTek Computer","PRIME Z590-V","NCT6798D"
"ASUSTek Computer","PRIME Z690-A","NCT6798D"
"ASUSTek Computer","PRIME Z690M-HZ","NCT6798D"
"ASUSTek Computer","PRIME Z690M-PLUS D4","NCT6798D"
"ASUSTek Computer","PRIME Z690-P D4","NCT6798D"
"ASUSTek Computer","PRIME Z690-P","NCT6798D"
"ASUSTek Computer","PRIME Z690-P WIFI D4","NCT6798D"
"ASUSTek Computer","PRIME Z690-P WIFI","NCT6798D"
"ASUSTek Computer","PRIME Z790M-PLUS D4","NCT6798D"
"ASUSTek Computer","PRIME Z790-P","NCT6798D"
"ASUSTek Computer","PRIME Z790-P WIFI","NCT6798D"
